code,name,continent,population,capital
IS,Iceland,Europe,366425,Reykjavik
JP,Japan,Asia,125836021,Tokyo
CH,Switzerland,Europe,8654622,Bern
NO,Norway,Europe,5379475,Oslo
ES,Spain,Europe,47351567,Madrid
BR,Brazil,South America,212559409,Brasília
MX,Mexico,North America,128932753,Mexico City
PR,Puerto Rico,North America,3194034,San Juan
DE,Germany,Europe,83240525,Berlin
JM,Jamaica,North America,2961161,Kingston
IT,Italy,Europe,59554023,Rome
AD,Andorra,Europe,77265,Andorra la Vella
GR,Greece,Europe,10715549,Athens
EC,Ecuador,South America,17643060,Quito
EG,Egypt,Africa,102334403,Cairo
GB,United Kingdom,Europe,67215293,London
TR,Turkey,Europe,84339067,Ankara
SE,Sweden,Europe,10353442,Stockholm
KR,South Korea,Asia,51780579,Seoul
AR,Argentina,South America,45376763,Buenos Aires
